code,name,zone,city,state
0.001,RIBEIRÃO PRETO,0,RIBEIRÃO PRETO,SP
1.000,BARRETOS,1,PONTAL,SP
1.000,BARRETOS,1,SERTÃOZINHO,SP
1.000,BARRETOS,1,BARRINHA,SP
1.000,BARRETOS,1,PITANGUEIRAS,SP
1.001,BARRETOS,2,BEBEDOURO,SP
1.001,BARRETOS,2,VIRADOURO,SP
1.001,BARRETOS,2,TERRA ROXA,SP
1.001,BARRETOS,2,JABORANDI,SP
1.002,BARRETOS,3,COLINA,SP
1.002,BARRETOS,3,BARRETOS,SP
1.002,BARRETOS,3,SEVERÍNIA,SP
1.002,BARRETOS,3,MONTE AZUL PAULISTA,SP
1.002,BARRETOS,3,OLÍMPIA,SP
1.003,BARRETOS,4,COLÔMBIA,SP
2.000,SÃO CARLOS,1,RINCÃO,SP
2.000,SÃO CARLOS,1,SANTA LUCIA,SP
2.000,SÃO CARLOS,1,AMÉRICO BRASILIENSE,SP
2.000,SÃO CARLOS,1,ARARAQUARA,SP
2.001,SÃO CARLOS,2,SÃO CARLOS,SP
2.001,SÃO CARLOS,2,IBATE,SP
2.001,SÃO CARLOS,2,BOA ESPERANÇA DO SUL,SP
2.002,SÃO CARLOS,3,DOURADO,SP
2.002,SÃO CARLOS,3,RIBEIRÃO BONITO,SP
2.003,SÃO CARLOS,4,ITIRAPINA,SP
3.000,MOCOCA,1,SERRANA,SP
3.000,MOCOCA,1,SERRA AZUL,SP
3.000,MOCOCA,1,CAJURU,SP
3.000,MOCOCA,1,CÁSSIA DOS COQUEIROS,SP
3.001,MOCOCA,2,SANTA ROSA DE VITERBO,SP
3.001,MOCOCA,2,TAMBAÚ,SP
3.001,MOCOCA,2,CASA BRANCA,SP
3.002,MOCOCA,3,SÃO JOSÉ DO RIO PARDO,SP
3.002,MOCOCA,3,MOCOCA,SP
3.003,MOCOCA,4,SÃO SEBASTIÃO DA GRAMA,SP
3.003,MOCOCA,4,DIVINOLÂNDIA,SP
3.003,MOCOCA,4,TAPIRATIBA,SP
3.003,MOCOCA,4,CACONDE,SP
4.000,PORTO FERREIRA,1,CRAVINHOS,SP
4.000,PORTO FERREIRA,1,LUÍS ANTÔNIO,SP
4.000,PORTO FERREIRA,1,SÃO SIMÃO,SP
4.001,PORTO FERREIRA,2,SANTA RITA DO PASSA QUATRO,SP
4.001,PORTO FERREIRA,2,PORTO FERREIRA,SP
4.001,PORTO FERREIRA,2,DESCALVADO,SP
4.002,PORTO FERREIRA,3,PIRASSUNUNGA,SP
4.002,PORTO FERREIRA,3,SANTA CRUZ DAS PALMEIRAS,SP
4.002,PORTO FERREIRA,3,VARGEM GRANDE DO SUL,SP
4.003,PORTO FERREIRA,4,ÁGUAS DA PRATA,SP
4.003,PORTO FERREIRA,4,SÃO JOÃO DA BOA VISTA,SP
4.003,PORTO FERREIRA,4,AGUAÍ,SP
5.000,JABOTICABAL,1,DUMONT,SP
5.000,JABOTICABAL,1,BARRINHA,SP
5.001,JABOTICABAL,2,GUARIBA,SP
5.001,JABOTICABAL,2,PRADÓPOLIS,SP
5.002,JABOTICABAL,3,JABOTICABAL,SP
5.002,JABOTICABAL,3,MONTE ALTO,SP
5.002,JABOTICABAL,3,TAQUARITINGA,SP
5.002,JABOTICABAL,3,DOBRADA,SP
5.002,JABOTICABAL,3,SANTA ERNESTINA,SP
5.002,JABOTICABAL,3,MATÃO,SP
5.003,JABOTICABAL,4,ITÁPOLIS,SP
6.000,ITUVERAVA,1,JARDINÓPOLIS,SP
6.000,ITUVERAVA,1,SALES OLIVEIRA,SP
6.000,ITUVERAVA,1,MORRO AGUDO,SP
6.001,ITUVERAVA,2,SÃO JOAQUIM DA BARRA,SP
6.002,ITUVERAVA,3,GUARÁ,SP
6.002,ITUVERAVA,3,IPUÃ,SP
6.002,ITUVERAVA,3,ITUVERAVA,SP
6.002,ITUVERAVA,3,BURITIZAL,SP
6.003,ITUVERAVA,4,ARAMINA,SP
6.003,ITUVERAVA,4,IGARAPAVA,SP
6.003,ITUVERAVA,4,MIGUELÓPOLIS,SP
6.003,ITUVERAVA,4,GUAÍRA,SP
7.000,FRANCA,1,BRODOWSKI,SP
7.000,FRANCA,1,JURUCÊ,SP
7.000,FRANCA,1,BATATAIS,SP
7.001,FRANCA,2,FRANCA,SP
7.001,FRANCA,2,PATROCÍNIO PAULISTA,SP
7.001,FRANCA,2,CRISTAIS PAULISTA,SP
7.002,FRANCA,3,RIBEIRÃO CORRENTE,SP
7.002,FRANCA,3,SÃO JOSÉ DA BELA VISTA,SP
7.003,FRANCA,4,PEDREGULHO,SP
7.003,FRANCA,4,RIFAINA,SP
