code,utility,van,vuc,three_quarter,toco,truck
0.001,140.00,350.00,402.50,450.80,549.98,703.97
1.000,0.00,540.00,621.00,695.52,848.53,1086.12
1.001,0.00,600.00,690.00,772.80,942.82,1206.80
1.002,0.00,650.00,747.50,837.20,1021.38,1307.37
1.003,0.00,750.00,862.50,966.00,1178.52,1508.51
2.000,0.00,570.00,655.50,734.16,895.68,1146.46
2.001,0.00,650.00,747.50,837.20,1021.38,1307.37
2.002,0.00,700.00,805.00,901.60,1099.95,1407.94
2.003,0.00,750.00,862.50,966.00,1178.52,1508.51
3.000,0.00,540.00,621.00,695.52,848.53,1086.12
3.001,0.00,650.00,747.50,837.20,1021.38,1307.37
3.002,0.00,700.00,805.00,901.60,1099.95,1407.94
3.003,0.00,750.00,862.50,966.00,1178.52,1508.51
4.000,0.00,500.00,575.00,644.00,785.68,1005.67
4.001,0.00,540.00,621.00,695.52,848.53,1086.12
4.002,0.00,615.00,707.25,792.12,966.39,1236.97
4.003,0.00,750.00,862.50,966.00,1178.52,1508.51
5.000,0.00,480.00,552.00,618.24,754.25,965.44
5.001,0.00,550.00,632.50,708.40,864.25,1106.24
5.002,0.00,650.00,747.50,837.20,1021.38,1307.37
5.003,0.00,700.00,805.00,901.60,1099.95,1407.94
6.000,0.00,540.00,621.00,695.52,848.53,1086.12
6.001,0.00,650.00,747.50,837.20,1021.38,1307.37
6.002,0.00,690.00,793.50,888.72,1084.24,1387.83
6.003,0.00,750.00,862.50,966.00,1178.52,1508.51
7.000,0.00,480.00,552.00,618.24,754.25,965.44
7.001,0.00,600.00,690.00,772.80,942.82,1206.80
7.002,0.00,650.00,747.50,837.20,1021.38,1307.37
7.003,0.00,750.00,862.50,966.00,1178.52,1508.51
